id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	5	0	0	100	61	39	100	39	0
2	3	131	131	176	35	0	45	10	0
3	1	159	159	188	21	8	29	8	0
4	0	190	190	195	5	0	5	0	0
5	0	497	497	503	6	0	6	0	0
6	0	771	771	773	2	0	2	0	0
7	0	961	961	982	6	5	21	15	0
9	1	993	993	1004	11	0	11	0	0
10	0	1021	1021	1031	10	0	10	0	0
8	6	962	962	1050	48	10	88	40	0
12	0	1092	1092	1111	10	0	19	9	0
11	6	1036	1036	1124	46	23	88	42	0
13	2	1098	1098	1158	23	26	60	37	0
15	0	1143	1143	1165	4	11	22	18	0
14	0	1142	1142	1168	11	14	26	15	0
16	0	1186	1186	1189	3	0	3	0	0
17	5	1311	1311	1401	50	40	90	40	0
18	2	1441	1441	1481	20	20	40	20	0
19	4	1498	1498	1543	45	0	45	0	0
21	1	1586	1586	1611	24	1	25	1	0
22	0	1670	1670	1680	10	0	10	0	0
20	4	1577	1577	1702	49	42	125	76	0
23	1	1877	1877	1893	16	0	16	0	0
24	4	2117	2117	2158	41	0	41	0	0
25	4	2168	2168	2216	44	4	48	4	0
0	0	0	0	2216	1615	0	2216	601	0
