id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	3	64	64	110	21	5	46	25	0
4	0	142	142	176	11	23	34	23	0
5	2	160	160	186	22	0	26	4	0
1	7	0	0	190	80	14	190	110	0
3	9	69	69	207	68	7	138	70	0
6	0	215	215	222	7	0	7	0	0
8	0	270	270	279	9	0	9	0	0
7	0	266	266	280	5	0	14	9	0
9	0	334	334	360	13	3	26	13	0
11	0	373	373	382	9	0	9	0	0
10	3	336	336	391	26	16	55	29	0
13	2	537	537	564	18	0	27	9	0
12	2	528	528	597	20	39	69	49	0
14	1	742	742	753	11	0	11	0	0
15	0	836	836	858	8	14	22	14	0
16	0	916	916	923	7	0	7	0	0
18	1	1116	1116	1132	16	0	16	0	0
17	4	1100	1100	1154	36	2	54	18	0
19	6	1197	1197	1258	61	0	61	0	0
20	0	1357	1357	1358	1	0	1	0	0
22	0	1379	1379	1381	2	0	2	0	0
21	2	1366	1366	1389	21	0	23	2	0
24	2	1495	1495	1561	31	25	66	35	0
23	3	1468	1468	1562	37	30	94	57	0
25	0	1640	1640	1643	3	0	3	0	0
0	0	0	0	1643	1100	0	1643	543	0
